10,453,0,,10,29,0
20,57291,0,,12,17,0
30,7049123,0.015,,14,19,0
40,866988831,1.668,,16,21,0
50,1.06633E+11,199.997,,18,23,0
,,,,20,25,0
,,,,22,27,0
,,,,24,29,0
,,,,26,31,0
,,,,28,33,0
,,,,30,35,0
,,,,32,37,0
,,,,34,39,0
,,,,36,41,0
,,,,38,43,0
,,,,40,45,0
,,,,42,47,0
,,,,44,49,0
,,,,46,51,0
,,,,48,53,0
,,,,50,55,0
,,,,52,57,0
,,,,54,59,0
,,,,56,61,0
,,,,58,63,0
,,,,60,65,0
,,,,62,67,0
,,,,64,69,0
,,,,66,71,0
,,,,68,73,0
,,,,70,75,0
,,,,72,77,0
,,,,74,79,0
,,,,76,81,0
,,,,78,83,0
,,,,80,85,0
,,,,82,87,0
,,,,84,89,0
,,,,86,91,0
,,,,88,93,0
,,,,90,95,0
,,,,92,97,0
,,,,94,101,0
,,,,96,109,0
,,,,98,143,0
,,,,100,155,0
